name,formatted_address,website,rating,lat,lng
Seminuevos San Joaquin,"Av. Río San Joaquín 325, Pensil Nte., Miguel Hidalgo, 11490 Ciudad de México, CDMX, Mexico",http://www.seat-polanco.com.mx/,4,19.4432046,-99.1938184
Direct Auto Sales,"Av. Río San Joaquín 30, Cuauhtémoc Pensil, Miguel Hidalgo, 11490 Ciudad de México, CDMX, Mexico",,4,19.4431669,-99.1938694
Autos Seminuevos Showcar,"Av. Río San Joaquín 30, Cuauhtémoc Pensil, Miguel Hidalgo, 11490 Ciudad de México, CDMX, Mexico",http://autosseminuevosshowcar.com/,4.4,19.4432092,-99.1939941
AUTOS CHIC Narvarte,"La Quebrada 405, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",https://autoselegantesnarvarte.business.site/,3.5,19.3996155,-99.14609670000000
Mazda Zapata Lindavista,"Calle Pte. 140 #418, Lindavista, Gustavo A. Madero, 07720 Ciudad de México, CDMX, Mexico",https://www.mazda.mx/distribuidores/mazda-zapata-lindavista,4.2,19.4941761,-99.1482995
MYLSA (Dealer FORD),"Eje Central Lázaro Cárdenas 831, Nueva Industrial Vallejo, Gustavo A. Madero, 07700 Ciudad de México, CDMX, Mexico",http://www.fordmylsa.mx/,4.1,19.5013154,-99.1487069
Toyota Vallejo,"Calz. Vallejo 724 A, Coltongo, Azcapotzalco, 02630 Ciudad de México, CDMX, Mexico",http://www.toyotavallejo.com.mx/,4.3,19.4840554,-99.1507271
Professional Services Transportation,"Pte 116 543, Industrial Vallejo, Azcapotzalco, 02700 Ciudad de México, CDMX, Mexico",http://www.vehiculosaccidentados.com/,4.7,19.4834764,-99.1576369
Chrysler La Villa,"Av. Ferrocarril Hidalgo, 1002 Villa, Amp San Juan de Aragón, Gustavo A. Madero, 07470 Ciudad de México, CDMX, Mexico",http://www.chryslerlavilla.com.mx/,4.1,19.480378,-99.10809260000000
Casetas y Carrocerias San Antonio,"Calz. Vallejo 571, Magdalena de las Salinas, Gustavo A. Madero, 07760 Ciudad de México, CDMX, Mexico",http://www.casetasantonio.com.mx/,4.4,19.478368,-99.147588
Autos Pullman,"Calz. de los Misterios 382, Industrial, Gustavo A. Madero, 07800 Ciudad de México, CDMX, Mexico",,,19.4687955,-99.1251054
Refaccionaria Jaguar,"Granados N.39 Esquina con Calle Wagner Colonia Ex Hipódromo de Peralvillo, Ex Hipódromo de Peralvillo, Cuauhtémoc, 06250 Distrito Federal, CDMX, Mexico",,3.2,19.4553922,-99.13239810000000
centro refaccionario del norte,"Av. Talismán 159, Col. Estrella, Gustavo A. Madero, 07810 Ciudad de México, CDMX, Mexico",,4.3,19.4757983,-99.11310920000000
Jr Motors,"Calz. Azcapotzalco La Villa 1059, San Bartolo Atepehuacan, Gustavo A. Madero, 07730 Ciudad de México, CDMX, Mexico",,,19.4908757,-99.1447288
Zigma Refacciones,"Pte. 108 #559, Defensores de la República, Gustavo A. Madero, 07780 Ciudad de México, CDMX, Mexico",http://www.tiendazigmarefacciones.com/,4.5,19.4760848,-99.1458531
Autocrash Vittoria,"Jade 85, Col. Estrella, Gustavo A. Madero, 07810 Ciudad de México, CDMX, Mexico",,5,19.4764229,-99.11606
Peugeot Vallejo,"Calz. Vallejo 923, Lindavista Vallejo III Secc, Gustavo A. Madero, 07750 Ciudad de México, CDMX, Mexico",http://www.peugeotvallejo.com.mx/,4.1,19.4925063,-99.1528123
Kia Vallejo,"Av. Montevideo 493, Lindavista Vallejo III Secc, Gustavo A. Madero, 07750 Ciudad de México, CDMX, Mexico",http://dealers.kia.com/mx/vallejo,4,19.4946286,-99.1528869
Ficmex Fuente Intermediaria Comercializadora Mexicana,"Calle 29, Pro Hogar, Azcapotzalco, 02600 Ciudad de México, CDMX, Mexico",,4.2,19.4788113,-99.1558385
Security Center,"Av. Ferrocarril Hidalgo 67 esq. Circuito Interior Rio Consulado, F.C. Hidalgo, Valle Gómez, Venustiano Carranza, 15210 Ciudad de México, CDMX, Mexico",,4.5,19.4594307,-99.12221630000000
KIA Vallejo,"Calz. Vallejo 991, Nueva Vallejo II Secc, Gustavo A. Madero, 07720 Ciudad de México, CDMX, Mexico",http://www.kiavallejo.com.mx/,4.2,19.4948633,-99.153576
Volkswagen La Villa,"F.C. Hidalgo 890, Aragón La Villa(Aragón), Gustavo A. Madero, 07000 Ciudad de México, CDMX, Mexico",http://www.vw-lavilla.com.mx/,4.2,19.4776301,-99.11044110000000
SEAT La Villa,"F.C. Hidalgo 890, Aragón La Villa(Aragón), Gustavo A. Madero, 07000 Ciudad de México, CDMX, Mexico",http://www.seat-lavilla.com.mx/,4,19.4775863,-99.1104385
Suzuki La Villa,"Ote. 171 107, Amp San Juan de Aragón, Gustavo A. Madero, 07470 Ciudad de México, CDMX, Mexico",https://suzukilavilla.com/,3.8,19.4775516,-99.1094636
Lincoln,"Nueva Industrial Vallejo, 07700 Mexico City, CDMX, Mexico",,4.7,19.5017896,-99.1490675
Camiones Especiales Mercedes Benz & Freightliner Vallejo,"Calz. Vallejo 820, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",http://www.camionespeciales.com/,4,19.4955204,-99.1547294
VALLEJO,"Calz. Vallejo 1010, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",https://www.seat.mx/,4.4,19.49631000000000,-99.1549
Hyundai Vallejo,"Avenida, Calle Pte. 140 576, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",http://www.hyundaivallejo.com.mx/,3.9,19.4957714,-99.1562524
BMW Lindavista Motors,"Calz. Vallejo 1030, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",https://www.bmw.com.mx/es/distribuidores/lindavista_motors.html,4.2,19.4970578,-99.1555278
Renault Vallejo,"Calz. Vallejo 1049, Industrial Vallejo, Gustavo A. Madero, 07720 Ciudad de México, CDMX, Mexico",http://www.renaultvallejo.com.mx/,4.1,19.4985226,-99.1548272
Volkswagen Alden Vallejo,"Calz. Vallejo 1042, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",http://www.vw-aldenvallejo.com.mx/,4.3,19.4978368,-99.15558770000000
buenos autos,"Neptuno 56, Nueva Industrial Vallejo, Gustavo A. Madero, 07700 Ciudad de México, CDMX, Mexico",http://www.buenosautos.com.mx/,4.1,19.5043657,-99.1488701
MINI Lindavista,"Calle Pte. 140 No.606, Col, Industrial Vallejo, Azcapotzalco, 02300 Del. Azcapotzalco, CDMX, Mexico",http://www.lindavista.mini.com.mx/,4.3,19.4963685,-99.1576369
Multiasistencia Salvamentos,"Calle Pte. 128 667, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",,3.9,19.4906789,-99.16305830000000
Chevrolet Politécnico,"Miguel Bernard 563, Siete Maravillas, Gustavo A. Madero, 07707 Ciudad de México, CDMX, Mexico",,4.3,19.5121174,-99.1408234
Parabrisas,"06250 de, Adelina Patti 3, Ex Hipódromo de Peralvillo, Cuauhtémoc, 06250 Ciudad de México, CDMX, Mexico",http://www.citsa.com.mx/,3,19.453904,-99.1314938
Splendor Carwash México,"Calle 3 Anegas 420, Siete Maravillas, Gustavo A. Madero, 07700 Ciudad de México, CDMX, Mexico",,3.4,19.5157821,-99.1484475
Everything auction house Auction,"Av Central 209, Nueva Industrial Vallejo, Gustavo A. Madero, 07700 Ciudad de México, CDMX, Mexico",https://www.todoensubastas.com.mx/,4,19.5126063,-99.1503796
